"tilltalsnamn","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Aaron",21,31,35,43,40,41,43,66,55,68
"Abbas",..,..,11,13,18,11,20,12,17,12
"Abbe",21,27,39,26,37,45,51,59,69,55
"Abdallah",..,..,..,..,..,..,..,11,11,..
"Abdirahim",..,..,..,..,..,..,..,..,..,10
"Abdirahman",12,22,16,21,24,29,30,33,32,53
"Abdulahi",..,..,..,..,..,..,10,..,11,..
"Abdullahi",10,14,10,14,15,13,24,18,26,34
"Abdullah",10,..,11,..,20,24,22,28,27,33
"Abdulrahman",..,..,..,..,..,..,..,..,..,11
"Abel ",..,..,..,..,..,..,..,11,..,10
"Abraham",..,..,..,..,..,..,..,12,10,..
"Acke",..,..,..,..,..,..,..,..,..,11
"Adam",579,567,526,463,502,470,478,452,464,458
"Adel",..,..,13,..,..,10,..,..,..,..
"Adem",..,..,12,..,..,..,10,14,12,18
"Adil",..,..,..,..,..,..,..,..,..,10
"Adin",..,..,..,..,..,..,..,..,10,12
"Adis",..,..,..,..,..,..,..,..,..,..
"Adnan",..,16,15,17,19,16,18,18,12,21
"Adrian",229,263,255,263,279,275,298,340,397,444
"Adriano",..,..,..,..,13,..,..,..,..,..
"Agaton",..,16,..,16,16,21,25,11,15,12
"Agust",..,..,..,..,16,..,17,15,..,24
"Ahmad",29,23,33,31,36,38,41,33,38,42
"Ahmed",64,47,56,65,63,76,72,85,86,94
"Aiden ",..,..,..,..,..,..,13,12,16,15
"Ajdin",..,15,..,..,..,13,18,..,13,13
"Akram",..,..,..,..,..,..,..,..,15,..
"Aksel",..,10,..,..,..,13,..,..,11,15
"Aland",..,..,10,..,..,..,..,..,..,..
"Alan",23,19,17,19,13,24,16,13,24,22
"Albert",77,88,90,82,81,102,108,86,99,101
"Albin",769,749,695,613,602,580,525,480,454,446
"Aldin",22,15,22,16,11,20,11,19,..,..
"Alec",..,..,..,..,..,..,..,..,..,..
"Alejandro ",..,..,..,..,..,..,..,11,..,..
"Aleksandar",..,..,12,..,10,..,..,..,15,14
"Aleksander",10,..,10,14,12,13,17,11,19,13
"Alen",10,14,..,..,10,..,..,..,..,..
"Alessandro",..,12,10,..,..,..,13,10,..,16
"Alexander",941,896,767,838,821,866,717,738,669,612
"Alexandros",..,..,..,..,..,..,..,..,12,..
"Alexis",..,10,..,10,..,..,10,15,24,16
"Alex",202,224,231,263,220,232,168,182,149,180
"Alf",..,..,..,..,..,..,..,..,..,13
"Alfons",99,100,107,114,104,103,99,85,86,66
"Alfred",299,303,319,362,420,478,431,495,473,547
"Algot",64,65,82,107,113,121,124,115,125,126
"Ali",100,112,118,128,128,144,144,152,143,147
"Allan",17,32,25,29,37,37,32,47,32,54
"Almin",..,..,..,..,..,..,..,10,..,..
"Almir",..,..,..,..,..,..,..,..,..,..
"Altin",10,..,..,12,12,..,..,..,..,..
"Alvar",40,62,65,74,70,96,96,93,110,103
"Alve",24,38,31,29,46,62,70,84,77,109
"Alvin",253,348,364,413,464,445,373,335,291,271
"Alwin",26,34,45,54,54,43,42,40,51,50
"Amadeus",28,27,30,30,30,35,15,38,51,47
"Amandus ",..,..,10,..,..,..,..,17,21,15
"Amar",13,15,..,10,23,16,16,14,14,11
"Amel",..,..,..,11,..,..,..,..,..,..
"Amer",..,..,..,..,..,..,..,..,..,..
"Amin",23,22,12,33,22,23,26,25,24,29
"Amir",37,26,45,46,46,64,66,70,81,84
"Amos ",..,..,..,..,12,..,..,..,10,10
"Anas",..,10,23,23,34,42,39,26,67,47
"Anders",28,23,14,25,11,13,..,12,16,11
"Andi",..,10,..,..,..,..,..,15,14,..
"Andreas",173,116,102,62,56,58,50,44,44,40
"Andréas",..,..,..,..,..,..,..,..,..,..
"Andrej",..,..,12,11,..,..,11,10,..,11
"André",102,102,60,55,43,44,43,32,39,32
"Andrew",..,14,..,..,..,..,..,..,..,..
"Andy",17,13,16,15,14,15,..,13,10,..
"Anes",16,..,10,..,..,..,..,..,..,..
"Angelo",27,28,25,26,24,25,29,33,31,27
"Ante",13,11,10,17,..,..,11,11,..,..
"Anthon",15,14,14,10,..,10,..,10,..,11
"Anthony",25,25,18,29,28,29,21,21,17,28
"Antoni ",..,..,..,..,..,..,..,11,..,12
"Antonio",43,39,41,36,31,33,28,28,22,32
"Anton",840,887,809,694,654,616,648,602,570,450
"Aram ",..,..,..,..,10,10,..,13,12,11
"Aran",..,..,..,..,..,..,..,..,..,10
"Aras",..,..,..,10,..,..,..,10,10,..
"Arda",..,28,30,15,26,17,11,12,..,..
"Arian",17,13,10,17,23,18,19,22,22,14
"Arild ",..,..,..,..,..,..,..,11,..,..
"Arin ",..,..,..,..,..,..,11,..,..,..
"Arman",10,10,12,14,17,16,14,17,10,21
"Armin",14,20,11,18,18,16,..,16,17,18
"Aron",87,87,114,98,108,91,106,108,126,121
"Arthur",13,12,20,19,29,34,45,46,53,47
"Artin",..,..,11,10,14,11,..,16,10,..
"Artur",..,11,12,17,10,10,13,14,21,30
"Arve",..,..,..,..,..,12,..,..,..,..
"Arvid",442,475,485,500,544,589,563,531,565,540
"Arwid",..,10,13,..,..,..,..,10,10,11
"Arvin",21,14,14,21,22,26,13,20,18,26
"Aryan",..,..,..,12,..,12,10,..,14,11
"Assar",..,17,10,22,20,26,14,23,19,22
"Aston",15,19,25,29,57,51,51,78,84,93
"Astor ",..,..,10,..,14,13,16,10,13,16
"Atlas",..,..,..,..,..,..,..,..,..,10
"Atle",10,..,17,12,16,..,20,14,18,18
"August",116,110,108,139,153,166,180,222,240,261
